id,text,favorite_count,created_at,author,language,retweet_count,media,view_count,replies,,
1.76628770634118E+018,@th_robert #kukimilitant on 3rd may 2023 https://t.co/Uxh66hFLnS,18,Sat Mar 09 02:19:39 +0000 2024,James,en,7,"[{'display_url': 'pic.twitter.com/Uxh66hFLnS', 'expanded_url': 'https://twitter.com/James55429535/status/1766287706341183813/photo/1', 'id_str': '1766287702800949248', 'indices': [41, 64], 'media_key': '3_1766287702800949248', 'media_url_https': 'https://pbs.twimg.com/media/GIMdTriXYAAOExa.jpg', 'type': 'photo', 'url': 'https://t.co/Uxh66hFLnS', 'ext_media_availability': {'status': 'Available'}, 'features': {'large': {'faces': [{'x': 511, 'y': 476, 'h': 59, 'w': 59}]}, 'medium': {'faces': [{'x': 511, 'y': 476, 'h': 59, 'w': 59}]}, 'small': {'faces': [{'x': 321, 'y': 299, 'h': 37, 'w': 37}]}, 'orig': {'faces': [{'x': 511, 'y': 476, 'h': 59, 'w': 59}]}}, 'sizes': {'large': {'h': 1037, 'w': 1080, 'resize': 'fit'}, 'medium': {'h': 1037, 'w': 1080, 'resize': 'fit'}, 'small': {'h': 653, 'w': 680, 'resize': 'fit'}, 'thumb': {'h': 150, 'w': 150, 'resize': 'crop'}}, 'original_info': {'height': 1037, 'width': 1080, 'focus_rects': [{'x': 0, 'y': 265, 'w': 1080, 'h': 605}, {'x': 0, 'y': 0, 'w': 1037, 'h': 1037}, {'x': 0, 'y': 0, 'w': 910, 'h': 1037}, {'x': 0, 'y': 0, 'w': 519, 'h': 1037}, {'x': 0, 'y': 0, 'w': 1080, 'h': 1037}]}}]",369,"[<Tweet id=""1766380822637265322"">, <Tweet id=""1766736351767261344"">, <Tweet id=""1766736782505497066"">]",,
1.76995998872913E+018,"🤑Who wants a HUGE #air #drop?

🥚FOLLOW = @XPLUS
😝and Play Now!

😝It’s that easy!",31,Tue Mar 19 05:32:00 +0000 2024,XPLUS 🕹️The 1st TradingGameFi Platform,en,1,,23528,"[<Tweet id=""1769985140501934565"">]",,
1.7662875308389E+018,@pbkhuptong @NENowNews @HMOIndia @PMOIndia @Spearcorps #kukimilitant on 3rd may 2023..... https://t.co/K5neoB0gcU,0,Sat Mar 09 02:18:58 +0000 2024,James,en,0,"[{'display_url': 'pic.twitter.com/K5neoB0gcU', 'expanded_url': 'https://twitter.com/James55429535/status/1766287530838900890/photo/1', 'id_str': '1766287527915200512', 'indices': [90, 113], 'media_key': '3_1766287527915200512', 'media_url_https': 'https://pbs.twimg.com/media/GIMdJgCWoAAXZi2.jpg', 'type': 'photo', 'url': 'https://t.co/K5neoB0gcU', 'ext_media_availability': {'status': 'Available'}, 'features': {'large': {'faces': [{'x': 511, 'y': 476, 'h': 59, 'w': 59}]}, 'medium': {'faces': [{'x': 511, 'y': 476, 'h': 59, 'w': 59}]}, 'small': {'faces': [{'x': 321, 'y': 299, 'h': 37, 'w': 37}]}, 'orig': {'faces': [{'x': 511, 'y': 476, 'h': 59, 'w': 59}]}}, 'sizes': {'large': {'h': 1037, 'w': 1080, 'resize': 'fit'}, 'medium': {'h': 1037, 'w': 1080, 'resize': 'fit'}, 'small': {'h': 653, 'w': 680, 'resize': 'fit'}, 'thumb': {'h': 150, 'w': 150, 'resize': 'crop'}}, 'original_info': {'height': 1037, 'width': 1080, 'focus_rects': [{'x': 0, 'y': 265, 'w': 1080, 'h': 605}, {'x': 0, 'y': 0, 'w': 1037, 'h': 1037}, {'x': 0, 'y': 0, 'w': 910, 'h': 1037}, {'x': 0, 'y': 0, 'w': 519, 'h': 1037}, {'x': 0, 'y': 0, 'w': 1080, 'h': 1037}]}}]",28,[],,
1.76616612949042E+018,@anirudhdg #kukimilitant on 3rd may 2023 https://t.co/RmC5g7XhNc,29,Fri Mar 08 18:16:33 +0000 2024,James,en,14,"[{'display_url': 'pic.twitter.com/RmC5g7XhNc', 'expanded_url': 'https://twitter.com/James55429535/status/1766166129490423901/photo/1', 'id_str': '1766166118069116928', 'indices': [41, 64], 'media_key': '3_1766166118069116928', 'media_url_https': 'https://pbs.twimg.com/media/GIKuuhHXIAAL8sh.jpg', 'type': 'photo', 'url': 'https://t.co/RmC5g7XhNc', 'ext_media_availability': {'status': 'Available'}, 'features': {'large': {'faces': [{'x': 511, 'y': 476, 'h': 59, 'w': 59}]}, 'medium': {'faces': [{'x': 511, 'y': 476, 'h': 59, 'w': 59}]}, 'small': {'faces': [{'x': 321, 'y': 299, 'h': 37, 'w': 37}]}, 'orig': {'faces': [{'x': 511, 'y': 476, 'h': 59, 'w': 59}]}}, 'sizes': {'large': {'h': 1037, 'w': 1080, 'resize': 'fit'}, 'medium': {'h': 1037, 'w': 1080, 'resize': 'fit'}, 'small': {'h': 653, 'w': 680, 'resize': 'fit'}, 'thumb': {'h': 150, 'w': 150, 'resize': 'crop'}}, 'original_info': {'height': 1037, 'width': 1080, 'focus_rects': [{'x': 0, 'y': 265, 'w': 1080, 'h': 605}, {'x': 0, 'y': 0, 'w': 1037, 'h': 1037}, {'x': 0, 'y': 0, 'w': 910, 'h': 1037}, {'x': 0, 'y': 0, 'w': 519, 'h': 1037}, {'x': 0, 'y': 0, 'w': 1080, 'h': 1037}]}}]",813,"[<Tweet id=""1766380691644957006"">, <Tweet id=""1766417816373067809"">]",,
1.76591521657827E+018,@AskerAliMk1 @narendramodi @AmitShah @PMOIndia @NBirenSingh @Paari_Athouba @Sana10Meitei High time to end soo with #kukimilitant to end the atrocities...... to indigenous people of manipur,0,Fri Mar 08 01:39:31 +0000 2024,James,en,0,,44,[],,
1.76591129703891E+018,@ukhrultimes Soo with #kukimilitant must be abrogated to  end the atrocities,0,Fri Mar 08 01:23:56 +0000 2024,James,en,0,,167,[],,
1.77001511249503E+018,"MitSna would like to thank our donors on behalf of the people of Manipur. Thank you for your support.

#manipurishealing
#rebuildmanipur
#MitSna #mitsna #mitsnahouse
#rebuildManipur
#SaveManipur
#SaveIndia
#education
#student #children
#stationery
#backtoschool #books #textbook https://t.co/XjbKYkOPsB",3,Tue Mar 19 09:11:02 +0000 2024,MitSna,en,0,"[{'display_url': 'pic.twitter.com/XjbKYkOPsB', 'expanded_url': 'https://twitter.com/mitsna_org/status/1770015112495030614/photo/1', 'id_str': '1770014856495644672', 'indices': [279, 302], 'media_key': '3_1770014856495644672', 'media_url_https': 'https://pbs.twimg.com/media/GJBbIlCWQAAV6Ra.jpg', 'type': 'photo', 'url': 'https://t.co/XjbKYkOPsB', 'ext_media_availability': {'status': 'Available'}, 'features': {'large': {'faces': []}, 'medium': {'faces': []}, 'small': {'faces': []}, 'orig': {'faces': []}}, 'sizes': {'large': {'h': 1080, 'w': 1080, 'resize': 'fit'}, 'medium': {'h': 1080, 'w': 1080, 'resize': 'fit'}, 'small': {'h': 680, 'w': 680, 'resize': 'fit'}, 'thumb': {'h': 150, 'w': 150, 'resize': 'crop'}}, 'original_info': {'height': 1080, 'width': 1080, 'focus_rects': [{'x': 0, 'y': 373, 'w': 1080, 'h': 605}, {'x': 0, 'y': 0, 'w': 1080, 'h': 1080}, {'x': 40, 'y': 0, 'w': 947, 'h': 1080}, {'x': 243, 'y': 0, 'w': 540, 'h': 1080}, {'x': 0, 'y': 0, 'w': 1080, 'h': 1080}]}}]",23,"[<Tweet id=""1770016798307389509"">]",,
1.77000229333047E+018,"नार्थ - ईस्ट : मणिपुर के सीएम ने केंद्रीय सुरक्षा बलों को दी सलाह

#northeast #manipur #nbrinsingh #army #savemanipur #CM https://t.co/TMrLS9kMve",2,Tue Mar 19 08:20:06 +0000 2024,South Block Digital,hi,0,"[{'display_url': 'pic.twitter.com/TMrLS9kMve', 'expanded_url': 'https://twitter.com/southblockdigi/status/1770002293330465111/video/1', 'id_str': '1770002271939526656', 'indices': [122, 145], 'media_key': '7_1770002271939526656', 'media_url_https': 'https://pbs.twimg.com/ext_tw_video_thumb/1770002271939526656/pu/img/pS6i1uA6DrKTNIBE.jpg', 'type': 'video', 'url': 'https://t.co/TMrLS9kMve', 'additional_media_info': {'monetizable': False}, 'ext_media_availability': {'status': 'Available'}, 'sizes': {'large': {'h': 1920, 'w': 1080, 'resize': 'fit'}, 'medium': {'h': 1200, 'w': 675, 'resize': 'fit'}, 'small': {'h': 680, 'w': 383, 'resize': 'fit'}, 'thumb': {'h': 150, 'w': 150, 'resize': 'crop'}}, 'original_info': {'height': 1920, 'width': 1080, 'focus_rects': []}, 'video_info': {'aspect_ratio': [9, 16], 'duration_millis': 20020, 'variants': [{'content_type': 'application/x-mpegURL', 'url': 'https://video.twimg.com/ext_tw_video/1770002271939526656/pu/pl/fId8SFhfC3J8yvqy.m3u8?tag=12&container=cmaf'}, {'bitrate': 632000, 'content_type': 'video/mp4', 'url': 'https://video.twimg.com/ext_tw_video/1770002271939526656/pu/vid/avc1/320x568/a5SHJ6bEMw7FqWEM.mp4?tag=12'}, {'bitrate': 950000, 'content_type': 'video/mp4', 'url': 'https://video.twimg.com/ext_tw_video/1770002271939526656/pu/vid/avc1/480x852/AkFy09lpbI-wn8VL.mp4?tag=12'}, {'bitrate': 2176000, 'content_type': 'video/mp4', 'url': 'https://video.twimg.com/ext_tw_video/1770002271939526656/pu/vid/avc1/720x1280/o-z4vbKXDXRStLX5.mp4?tag=12'}]}}]",13,[],,
1.76505636167365E+018,Subscribe to Premium+ to go ad-free in For You.,53446,Tue Mar 05 16:46:44 +0000 2024,Premium,en,1843,,12092568,"[<Tweet id=""1766502544769994985"">, <Tweet id=""1768970106376167908"">, <Tweet id=""1765138036579590201"">, <Tweet id=""1765698504922382483"">, <Tweet id=""1765213378983936442"">, <Tweet id=""1769403854104207518"">, <Tweet id=""1767379059104002065"">, <Tweet id=""1768619167685435545"">, <Tweet id=""1768889368297529762"">, <Tweet id=""1765417996745379968"">]",,
1.76999330007609E+018,@nomangkha Poppy power my friend. It's poppylord blessing 🤣😂😂.  #Savemeitei #SaveManipur #SaveIndia from immigrants Durglord kukis from Myanmar.,0,Tue Mar 19 07:44:22 +0000 2024,heikham singh,en,0,,160,[],,
